gene_id,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,condition,batch
ENSG00000141510,12.5,11.8,12.2,8.9,9.1,8.7,cancer,batch1
ENSG00000136997,15.2,14.9,15.1,10.2,10.5,10.1,cancer,batch1
ENSG00000146648,8.7,8.9,8.5,5.2,5.1,5.3,cancer,batch2
ENSG00000141736,6.3,6.1,6.5,4.1,4.2,4.0,cancer,batch2
ENSG00000139618,9.8,9.5,9.9,6.8,6.9,6.7,cancer,batch1
ENSG00000133703,7.2,7.4,7.1,3.9,4.1,3.8,normal,batch1
ENSG00000198786,11.1,10.9,11.3,7.5,7.6,7.4,normal,batch2
ENSG00000157764,5.9,6.1,5.8,3.2,3.1,3.3,normal,batch2
ENSG00000185950,8.4,8.2,8.6,5.7,5.8,5.6,normal,batch1
ENSG00000142208,4.7,4.9,4.6,2.8,2.9,2.7,normal,batch1
ENSG00000171862,13.2,13.5,13.1,9.8,9.9,9.7,cancer,batch2
ENSG00000134086,10.6,10.4,10.8,7.1,7.2,7.0,cancer,batch1
ENSG00000155657,6.8,7.0,6.7,4.5,4.6,4.4,normal,batch2
ENSG00000164362,9.3,9.1,9.5,6.2,6.3,6.1,normal,batch1
ENSG00000175793,7.8,8.0,7.7,5.4,5.5,5.3,cancer,batch2
