protein_id,protein_name,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7,patient_8,diagnosis,age_group
P04637,TP53,2.8,2.9,2.7,1.2,1.1,1.3,1.0,1.1,cancer,elderly
P00533,EGFR,3.5,3.7,3.4,1.8,1.9,1.7,1.6,1.8,cancer,middle_aged
P01106,MYC,4.2,4.1,4.3,2.1,2.0,2.2,1.9,2.1,cancer,young
P38398,BRCA1,1.9,2.0,1.8,0.9,0.8,1.0,0.7,0.9,cancer,elderly
P51587,BRCA2,2.3,2.4,2.2,1.1,1.0,1.2,0.9,1.1,cancer,middle_aged
Q04206,RELA,1.7,1.8,1.6,0.8,0.7,0.9,0.6,0.8,normal,young
P42574,CASP3,0.8,0.9,0.7,1.5,1.6,1.4,1.7,1.5,normal,elderly
P04792,HSPB1,1.2,1.3,1.1,2.1,2.2,2.0,2.3,2.1,normal,middle_aged
P68871,HBB,3.1,3.2,3.0,3.0,2.9,3.1,2.8,3.0,normal,young
P02768,ALB,15.2,15.1,15.3,14.8,14.9,14.7,15.0,14.8,normal,elderly
P01009,SERPINA1,8.7,8.8,8.6,8.9,9.0,8.8,9.1,8.9,normal,middle_aged
P02647,APOA1,12.3,12.4,12.2,12.1,12.0,12.2,11.9,12.1,normal,young
P00738,HP,5.6,5.7,5.5,5.8,5.9,5.7,6.0,5.8,cancer,elderly
P02763,ORM1,3.4,3.5,3.3,3.6,3.7,3.5,3.8,3.6,cancer,middle_aged
P01023,A2M,7.8,7.9,7.7,8.1,8.2,8.0,8.3,8.1,cancer,young
